,dataset,metrics,SkipGram,POI2Vec,Teaser,Tale,Hier,CTLE,CACSR
0,nyc,loc_clf_acc,0.0784565020547468,0.4146608297755221,0.066165169139328,0.0729841424624457,0.0272921455271528,0.0238791762438763,0.0204685287084116
1,nyc,loc_clf_f1_macro,0.0118637681280618,0.4668052439871413,0.0149804782803263,0.0116227709998444,0.0063407256192416,0.0039566058193043,0.0054156748982036
2,nyc,loc_pre_acc1,0.24499555587768554,0.09930017471313476,0.2452179718017578,0.25322509765625,0.1967304229736328,0.2530026626586914,0.09708629608154297
3,nyc,loc_pre_acc5,0.6032028579711914,0.2343414306640625,0.6017571258544921,0.6139902114868164,0.5220195770263671,0.5977535629272461,0.3181717109680176
4,nyc,traj_clf_acc,0.7760511882998172,0.3358149692277149,0.7650822669104205,0.8190127970749543,0.2605118829981718,0.3345521023765996,0.2513711151736746
5,nyc,traj_clf_f1_macro,0.5082288095638422,0.1578613475388772,0.5064387728878685,0.5976934197059703,0.0510677443036401,0.0690116878616986,0.0513252284507531
6,foursquare_tky,loc_clf_acc,0.3700135766481652,0.635067847373538,0.3554586111887553,0.1511819670167312,0.1151120073473625,0.0569181008665096,0.0822205806013656
7,foursquare_tky,loc_clf_f1_macro,0.0556997122911016,0.6303309909292873,0.0536798220148267,0.0311958934816946,0.017930604239118,0.0124870463182321,0.0124089447110223
8,foursquare_tky,loc_pre_acc1,0.2527968597412109,0.17359506607055664,0.2531647682189941,0.24440206527709962,0.21787988662719726,0.23798055648803712,0.14731015205383302
9,foursquare_tky,loc_pre_acc5,0.529189453125,0.3783328628540039,0.5327179336547853,0.5135202789306641,0.4680011367797852,0.505225830078125,0.3415943145751953
10,foursquare_tky,traj_clf_acc,0.5445786817556201,0.4257210230364592,0.5430493959320997,0.477748891267778,0.1306010093286435,0.0770760055054289,0.125248508946322
11,foursquare_tky,traj_clf_f1_macro,0.3520831822830338,0.3113806118879263,0.3491788868833502,0.2913379867825358,0.0543963698837274,0.0161223639282308,0.0525255663631261
12,chicago,loc_clf_acc,0.0826132957150414,0.537335007811741,0.0787691765120789,0.0694057485452301,0.0845177217421971,0.1032093105272438,0.0731087991535884
